family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
GBM,learning_rate,hp_learning_rate,25,25,4,0.47780999003676927,0.527064461831503,0.6820466928271999,0.48127895942539756,german,0,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,4,0.16077791919805506,0.11313817792401415,0.3401889752332694,0.17689593172860335,german,0,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.10907780505047979,0.0823607915511732,0.24520611084241237,0.12867514153949478,german,0,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.033771138254827714,0.02314971455292178,0.07960017614130603,0.03508957894988136,german,0,Rashomon,all
LogReg,C,hp_C,25,25,10,0.9333808178033971,0.9609157462732117,0.9893161251203322,0.9579143713770237,german,0,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.05858985875047341,0.04745205797500736,0.09589214858806577,0.040668034987856386,german,0,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.1438505939321854,0.13789652573403574,0.28435461279931484,0.17403839332161605,german,0,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.14230584789887535,0.13161160486733287,0.23346140840226748,0.13319121358636063,german,0,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.09714019319239092,0.07800104242354888,0.18899771662670495,0.08218008737788211,german,0,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.07750206628125195,0.06927133101040031,0.17568361970106244,0.07957496757819792,german,0,Rashomon,all
RF,max_depth,hp_max_depth,25,21,4,0.20463063338651483,0.1800172286668214,0.37555558461032257,0.21234900891330308,german,0,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.1080668415640621,0.08967595579422077,0.2213019955920003,0.11948858716191517,german,0,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.09836443812582062,0.07887654594301977,0.21159885274586376,0.09289961934586367,german,0,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.0808512034778528,0.0703171934826479,0.16795485904877142,0.0854440530134672,german,0,Rashomon,all
RF,max_features,hp_max_features,25,21,2,0.08082331113967953,0.042206109214807566,0.1980220639558297,0.08395302685402525,german,0,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.7061829975109829,0.753302932889166,0.9423973114203229,0.6807977378854861,german,0,Rashomon,all
kNN,p,hp_p,25,25,2,0.21358301301106486,0.13549054761332838,0.5576165874563581,0.2506548525426207,german,0,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.016193219923344816,0.002521804496201301,0.03303525349525171,0.04439439576773999,german,0,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,4,0.4258630414944167,0.5074413648360895,0.6254457125248494,0.36772205258676144,german,0,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.11744542704573314,0.12369741307972075,0.2252136086535324,0.13003405777434165,german,0,Rashomon,HH
GBM,max_depth,hp_max_depth,25,25,4,0.10213451519354437,0.06634204599149658,0.2569269481338278,0.1188519967132685,german,0,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.03970516209850753,0.03135154256752572,0.08887682638017275,0.04429038390493625,german,0,Rashomon,HH
LogReg,C,hp_C,25,25,10,0.9363894929065207,0.9655270276723475,0.9844669321803686,0.9744062775037351,german,0,Rashomon,HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.0584011443605817,0.05005612434649635,0.10854158601205552,0.022893854318971542,german,0,Rashomon,HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.25308197523825937,0.29756623544511074,0.33765283323561307,0.2800907289368611,german,0,Rashomon,HH
