dataset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,rank_freq_top1,rank_freq_top3
german,GBM,learning_rate,0.23172517425128142,0.1769628416871748,10,0.007108161467769321,0.5,0.9
german,GBM,n_estimators,0.14431645253966768,0.10524892532198667,10,0.007108161467769321,0.3,1.0
german,GBM,max_depth,0.13082538994623047,0.08840750437823991,10,0.007108161467769321,0.2,0.7
german,GBM,subsample,0.044257971500114984,0.03362615615068528,10,0.007108161467769321,0.0,0.4
german,LogReg,C,0.9210231056813338,0.07956750670732278,10,0.0021210598478302633,1.0,1.0
german,LogReg,l1_ratio,0.09626591740870036,0.03220664209754719,10,0.0021210598478302633,0.0,1.0
german,MLP,learning_rate_init,0.2372557916422983,0.18040558109651064,10,0.009316574662684962,0.5,0.9
german,MLP,hidden_layer_sizes,0.1626797492801732,0.09001505730595259,10,0.009316574662684962,0.4,1.0
german,MLP,alpha,0.09880000034901144,0.05898803551533265,10,0.009316574662684962,0.0,0.9
german,MLP,activation,0.042203319044803386,0.05349376139117192,10,0.009316574662684962,0.1,0.2
german,RF,n_estimators,0.2900294874498461,0.18183656270041373,10,0.0021229445025067,0.5,0.9
german,RF,max_features,0.2360167798789501,0.1672335413708719,10,0.0016280436245370334,0.4,0.7
german,RF,min_samples_leaf,0.12989570485472385,0.10693836365046176,10,0.0021229445025067,0.0,0.6
german,RF,min_samples_split,0.10398750239369656,0.07166962992585925,10,0.0021229445025067,0.0,0.4
german,RF,max_depth,0.09583350850275385,0.05301335124172511,10,0.0020506191035495917,0.1,0.4
german,kNN,n_neighbors,0.9746838449249864,0.021984416935398335,10,0.005646433320364326,1.0,1.0
german,kNN,p,0.03325749891253557,0.032365465883225114,10,0.005646433320364326,0.0,1.0
german,kNN,weights,0.014378766163841247,0.01427883513200849,10,0.005646433320364326,0.0,1.0
